Motif_Identifier	GO_Term_Identifier	GOMo_Score	p-value	q-value
crp	GO:0044248	1.341e-06	5.615e-07	4.550e-04
crp	GO:0009056	8.869e-07	5.615e-07	4.550e-04
crp	GO:0008643	1.075e-04	7.299e-06	3.943e-03
crp	GO:0051119	2.285e-04	1.965e-05	6.673e-03
crp	GO:0044275	2.652e-04	2.471e-05	6.673e-03
crp	GO:0015144	2.665e-04	2.471e-05	6.673e-03
crp	GO:0016861	3.954e-04	4.436e-05	1.027e-02
crp	GO:0016860	4.737e-04	5.559e-05	1.126e-02
crp	GO:0016052	5.421e-04	6.513e-05	1.147e-02
crp	GO:0009057	5.850e-04	7.075e-05	1.147e-02
crp	GO:0016853	7.322e-04	9.770e-05	1.439e-02
crp	GO:0044265	8.893e-04	1.286e-04	1.737e-02
crp	GO:0019321	1.272e-03	2.004e-04	2.499e-02
nagC	GO:0051704	1.801e-04	1.797e-05	2.620e-02
nagC	GO:0042710	4.020e-04	5.278e-05	2.748e-02
nagC	GO:0009252	8.308e-04	1.319e-04	2.748e-02
nagC	GO:0007047	8.308e-04	1.319e-04	2.748e-02
nagC	GO:0031504	8.308e-04	1.319e-04	2.748e-02
nagC	GO:0009273	8.308e-04	1.319e-04	2.748e-02
nagC	GO:0042546	8.308e-04	1.319e-04	2.748e-02
nagC	GO:0016798	1.101e-03	1.752e-04	2.838e-02
nagC	GO:0004553	1.101e-03	1.752e-04	2.838e-02
narP	GO:0009061	3.737e-04	3.650e-05	3.850e-02
narP	GO:0045333	5.182e-04	5.334e-05	3.850e-02
narP	GO:0030151	6.633e-04	7.524e-05	3.850e-02
narP	GO:0015980	9.717e-04	1.404e-04	3.850e-02
narP	GO:0006091	9.717e-04	1.404e-04	3.850e-02
narP	GO:0017004	1.063e-03	1.567e-04	3.850e-02
narP	GO:0043623	1.063e-03	1.567e-04	3.850e-02
narP	GO:0042592	1.382e-03	2.212e-04	3.850e-02
narP	GO:0048878	1.382e-03	2.212e-04	3.850e-02
narP	GO:0019725	1.382e-03	2.212e-04	3.850e-02
narP	GO:0009055	1.539e-03	2.560e-04	4.051e-02
narP	GO:0065007	1.695e-03	2.835e-04	4.112e-02
narP	GO:0065008	1.839e-03	3.111e-04	4.164e-02
narP	GO:0043169	2.049e-03	3.672e-04	4.564e-02

# GOMo (Gene Ontology for Motifs): Version 5.5.3 compiled on Jun  9 2023 at 08:15:57
# The format of this file is described at https://meme-suite.org/meme/doc/gomo-output-format.html.
# gomo --oc gomo_example_output_files --dag go.dag --motifs dpinteract_subset.meme bacteria_escherichia_coli_k12_1000_199.na.csv ama.xml
