Cluster	Motif 1	Motif 2	Number of genes in cluster with both motifs	Total number of genes with both motifs	Number of genes in cluster	Raw p-value	Adjusted p-value (BH)	Adjusted p-value (Bonf)	Adjusted p-value (Global Bonf)	Genes
cortex	AHL12	AHL12_2	3	247	442	0.781491	0.781491	1	1	AT1G05680;AT2G20120;AT4G02170;
cortex	AHL12	AHL12_3ARY	17	731	442	0.105637	0.376396	1	1	AT1G44170;AT1G52760;AT1G62660;AT1G62975;AT1G65840;AT2G02780;AT2G15960;AT2G26690;AT2G46930;AT3G24120;AT3G44860;AT3G55720;AT4G10390;AT4G12520;AT5G02230;AT5G23220;AT5G28010;
cortex	AHL12	AHL20	7	327	442	0.303606	0.545921	1	1	AT1G15820;AT1G44170;AT1G52760;AT1G65840;AT2G22470;AT3G55720;AT5G36180;
cortex	AHL12	AHL20_2	12	657	442	0.412695	0.545921	1	1	AT1G14580;AT1G26970;AT1G44170;AT1G62790;AT1G69930;AT2G02780;AT3G24120;AT4G00430;AT4G35250;AT5G03150;AT5G24570;AT5G40730;
cortex	AHL12	AHL20_3ARY	19	821	442	0.0943903	0.376396	1	1	AT1G01110;AT1G05680;AT1G12500;AT1G14330;AT1G15640;AT1G19450;AT1G26970;AT1G44170;AT1G52760;AT1G57560;AT1G62660;AT1G69150;AT2G22470;AT3G44860;AT4G02170;AT4G10390;AT4G12520;AT5G02230;AT5G19240;
cortex	AHL12	AHL25	1	159	442	0.931197	0.931197	1	1	AT1G14580;
cortex	AHL12	AHL25_2	6	374	442	0.592579	0.592579	1	1	AT1G44170;AT1G52760;AT2G22470;AT3G55720;AT5G36180;AT5G47140;
cortex	AHL12	AHL25_3ARY	2	38	442	0.131544	0.394633	1	1	AT1G26970;AT2G22470;
cortex	AHL12	ANAC46	13	687	442	0.358131	0.545921	1	1	AT1G26970;AT1G44830;AT1G65840;AT1G69150;AT1G69930;AT2G22470;AT3G07460;AT3G09780;AT4G12430;AT4G35250;AT5G02270;AT5G03150;AT5G65430;
cortex	AHL12	ANAC55	17	810	442	0.196079	0.507028	1	1	AT1G01360;AT1G08630;AT1G14330;AT1G21070;AT1G26970;AT1G32400;AT1G44170;AT1G44830;AT1G62660;AT2G02780;AT2G15960;AT3G09780;AT4G12430;AT4G35250;AT5G03150;AT5G20280;AT5G66580;
cortex	AHL12	ANAC55_2	15	884	442	0.506472	0.545921	1	1	AT1G08630;AT1G32400;AT1G44170;AT1G62660;AT2G02780;AT3G05890;AT3G09780;AT4G02170;AT4G12430;AT5G03150;AT5G14340;AT5G36180;AT5G40730;AT5G65380;AT5G66580;
cortex	AHL12	ANAC58	10	638	442	0.620501	0.620501	1	1	AT1G19450;AT1G26970;AT1G69930;AT3G07460;AT3G09780;AT4G12430;AT4G19860;AT4G32480;AT4G35250;AT5G20280;
cortex	AHL12	ARR11	17	687	442	0.0691294	0.293328	1	1	AT1G08630;AT1G12500;AT1G21070;AT1G30380;AT1G62660;AT2G04780;AT2G15960;AT2G16980;AT2G44670;AT2G46930;AT3G28740;AT4G20150;AT4G32480;AT5G36180;AT5G40730;AT5G44020;AT5G67390;
cortex	AHL12	ARR11_2	17	673	442	0.0595796	0.293328	1	1	AT1G12500;AT1G15640;AT1G21070;AT1G44170;AT1G62790;AT1G69930;AT2G04780;AT2G22470;AT2G36830;AT3G05150;AT3G07460;AT3G24120;AT4G32480;AT5G03150;AT5G24410;AT5G44020;AT5G67390;
cortex	AHL12	ARR11_3ARY	15	812	442	0.376922	0.545921	1	1	AT1G07650;AT1G08630;AT1G15640;AT1G44170;AT1G65840;AT2G04780;AT2G15960;AT2G25770;AT2G27820;AT3G07460;AT5G20280;AT5G23220;AT5G65090;AT5G66580;AT5G67390;
cortex	AHL12	ARR14	16	635	442	0.067301	0.293328	1	1	AT1G08630;AT1G12500;AT1G44830;AT1G62660;AT2G04780;AT2G15960;AT2G16980;AT2G17680;AT2G25770;AT2G44670;AT3G28740;AT4G20150;AT4G32480;AT5G36180;AT5G65430;AT5G67390;
cortex	AHL12	ARR14_2	15	689	442	0.177533	0.507028	1	1	AT1G12500;AT1G15640;AT1G21070;AT1G44170;AT2G04780;AT2G15960;AT3G05150;AT3G07460;AT3G24120;AT4G20150;AT4G24275;AT4G32480;AT5G03150;AT5G44020;AT5G67390;
cortex	AHL12	ARR14_3ARY	19	785	442	0.0677722	0.293328	1	1	AT1G12500;AT1G15640;AT1G15820;AT1G21070;AT1G65840;AT2G04780;AT2G15960;AT2G16980;AT2G20680;AT2G25770;AT3G07460;AT4G12430;AT5G03150;AT5G20280;AT5G40730;AT5G65090;AT5G65430;AT5G66580;AT5G67390;
cortex	AHL12	AT1G77200	21	678	442	0.00513281	0.0611424	1	1	AT1G01360;AT1G05680;AT1G12500;AT1G32400;AT1G57560;AT1G78100;AT2G04780;AT2G20120;AT2G20880;AT2G36830;AT2G46930;AT3G05890;AT3G09780;AT3G24190;AT3G61420;AT4G12420;AT4G12430;AT5G02270;AT5G15900;AT5G55850;AT5G65430;
cortex	AHL12	AT4G35610	13	575	442	0.165429	0.496287	1	1	AT1G08630;AT1G32400;AT2G20120;AT3G18830;AT4G12420;AT4G12520;AT4G35250;AT5G14340;AT5G20280;AT5G28010;AT5G44020;AT5G55850;AT5G67390;
cortex	AHL12	AT5G28300	15	809	442	0.37156	0.545921	1	1	AT1G01110;AT1G05680;AT1G14460;AT1G62790;AT1G69930;AT1G76490;AT2G15960;AT2G20680;AT2G36830;AT2G44670;AT2G46930;AT3G09780;AT3G25760;AT4G39030;AT5G23220;
cortex	AHL12	ATERF1	17	597	442	0.0232395	0.162677	1	1	AT1G05680;AT1G30380;AT1G78100;AT2G20680;AT2G36830;AT2G43340;AT2G46930;AT3G05890;AT3G24190;AT3G55720;AT3G61420;AT4G32480;AT4G35250;AT5G02270;AT5G40730;AT5G55850;AT5G65430;
